sep=|
Open?|Time|Days of Week|Location|Dates|CRN|Subject|Course #|Section|Campus|Credits|Course Title|Seats Remaining|Waitlist Actual|Waitlist Remaining|Instructor(s)|
false|2:00 pm - 5:30 pm|M|MURRAY HALL 215|Jan 22, 2014 - May 13, 2014|11702|ACC|630|0|M|3.000|FIN REORTING: SEC TOICS|13|0|0|Timothy G.  Coville (P)|
false|7:10 pm - 10:40 pm|M|ST. JOHN HALL 213|Jan 22, 2014 - May 13, 2014|15514|ACC|630|0|Q|3.000|FIN REORTING: SEC TOICS|9|0|0|Timothy G.  Coville (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|16292|ACC|630|0|D|3.000|FIN REORTING: SEC TOICS|14|0|0|Nina T.  Dorata (P)|
false|5:00 pm - 6:15 pm|MR|ST. JOHN HALL 206|Jan 22, 2014 - May 13, 2014|11419|ACC|632|0|Q|3.000|CRITIQUE OF ACCOUNTING THEORY|0|0|0|Sylwia   Gornik-Tomaszewski (P)|
false|7:10 pm - 9:40 pm|R|ST. JOHN HALL 307|Jan 22, 2014 - May 13, 2014|11420|ACC|632|0|Q|3.000|CRITIQUE OF ACCOUNTING THEORY|0|0|0|Sylwia   Gornik-Tomaszewski (P)|
false|6:00 pm - 8:30 pm|W|MURRAY HALL 214|Jan 22, 2014 - May 13, 2014|13433|ACC|632|0|M|3.000|CRITIQUE OF ACCOUNTING THEORY|18|0|0|John J.  Lynch (P)|
false|3:25 pm - 4:40 pm|MR|D'ANGELO CENTER 207|Jan 22, 2014 - May 13, 2014|13648|ACC|632|0|Q|3.000|CRITIQUE OF ACCOUNTING THEORY|0|0|0|Sylwia   Gornik-Tomaszewski (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|14612|ACC|632|0|D|3.000|CRITIQUE OF ACCOUNTING THEORY|0|0|0|Irene N.  McCarthy (P)|
false|1:50 pm - 3:05 pm|TF|ST. JOHN HALL 209|Jan 22, 2014 - May 13, 2014|13020|ACC|638|0|Q|3.000|BUS ENTITIES & COMBINATIONS|1|0|0|Jialin   Sun (P)|
false|TBA~10:40 am - 1:10 pm~10:40 am - 1:10 pm| ~W~W|ST. JOHN'S UNIVERSITY ON-LINE~ST. JOHN HALL 112~ST. JOHN HALL 112|Jan 22, 2014 - May 13, 2014~Mar 26, 2014 - Apr 16, 2014~Apr 30, 2014 - Apr 30, 2014|14130|ACC|638|0|Q|3.000|BUS ENTITIES & COMBINATIONS|0|0|0|Joseph E  Trainor (P)|
false|TBA~10:40 am - 1:10 pm~10:40 am - 1:10 pm| ~W~W|ST. JOHN'S UNIVERSITY ON-LINE~ST. JOHN HALL 215~ST. JOHN HALL 215|Jan 22, 2014 - May 13, 2014~Mar 26, 2014 - Apr 16, 2014~Apr 30, 2014 - Apr 30, 2014|14734|ACC|638|0|Q|3.000|BUS ENTITIES & COMBINATIONS|-12|0|0|Joseph E  Trainor (P)|
false|9:05 am - 10:20 am|TF|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|11422|ACC|639|0|Q|3.000|GOVERNMENT & NON-ROFIT|0|0|0|Benjamin Rue  Silliman (P)|
